"","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",20,61,2,2,3475,0.9638,1.0668,0.9151,10,0.0814814814814815,0.459851851851852,0.376296296296296,0.0823703703703704
"3",20,61,2,2,3475,0.9638,1.0668,0.9151,10,0.0862222222222222,0.465481481481481,0.372444444444444,0.0758518518518519
"4",20,61,2,2,3475,0.9638,1.0668,0.9151,10,0.0877037037037037,0.46162962962963,0.375111111111111,0.0755555555555556
"5",20,61,2,2,3475,0.9638,1.0668,0.9151,10,0.0924444444444444,0.460148148148148,0.363259259259259,0.0841481481481482
"6",20,61,2,2,3475,0.9638,1.0668,0.9151,10,0.0894814814814815,0.463703703703704,0.354666666666667,0.0921481481481481
"7",20,61,2,2,3475,0.9638,1.0668,0.9151,10,0.0820740740740741,0.467555555555556,0.370074074074074,0.0802962962962963
