"","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",100,61,2,2,3475,0.9638,1.0668,0.9151,10,0.623703703703704,0.00503703703703704,0.0180740740740741,0.353185185185185
