"...1","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,30,120,2,2,2171,0.3629,0.9482,0.9067,10.1517,0.152,0.55762962962963,0.258074074074074,0.0322962962962963,2.3625730994152,7.49486716259299
1,30,104,4,3,3017,0.5087,0.9349,1.0267,17.5309,0.147555555555556,0.603555555555556,0.2,0.0488888888888889,1.5421686746988,3.17585665193913
1,30,64,4,4,2143,0.4245,1.065,0.9197,8.9869,0.123851851851852,0.488296296296296,0.324148148148148,0.0637037037037037,1.32535885167464,3.3877609223301
1,30,76,3,4,2130,0.6125,1.0169,0.9374,16.9051,0.141037037037037,0.501333333333333,0.30962962962963,0.048,2.01680672268908,5.9756914893617
1,30,107,3,4,3979,0.5585,1.0559,0.9537,8.2143,0.194074074074074,0.420740740740741,0.317037037037037,0.0681481481481482,2.09465648854962,2.67202112676056
1,30,102,2,3,2290,0.3172,1.0371,1.0121,7.2292,0.161185185185185,0.528,0.253925925925926,0.0568888888888889,2.41911764705882,5.49373737373737
1,30,60,3,4,1983,0.5572,0.9538,0.9725,6.3736,0.124148148148148,0.569777777777778,0.262814814814815,0.0432592592592593,1.68973747016706,5.91851794071763
1,30,73,3,2,3323,0.5697,0.9135,0.9596,6.0802,0.125925925925926,0.592592592592593,0.250962962962963,0.0305185185185185,1.45411764705882,5.192165
1,30,97,2,2,2886,0.3796,0.9774,0.9852,17.7406,0.137481481481481,0.562666666666667,0.249481481481481,0.0503703703703704,2.17241379310345,6.46224855186941
1,30,104,2,2,1125,0.8934,0.9584,0.9139,8.6779,0.153777777777778,0.537777777777778,0.283851851851852,0.0245925925925926,2.30828516377649,7.79777961432507
1,30,60,2,1,1805,0.5417,1.0591,0.9761,11.253,0.0859259259259259,0.524444444444444,0.309037037037037,0.0805925925925926,1.62758620689655,7.32697175141243
1,30,113,3,4,2852,0.9134,0.9873,0.9982,11.6188,0.185481481481481,0.526222222222222,0.232888888888889,0.0554074074074074,2.06709265175719,4.1283277027027
1,30,74,2,1,3770,0.9531,0.989,0.9323,6.3505,0.105185185185185,0.508444444444444,0.350222222222222,0.0361481481481482,1.48169014084507,6.52081002331002
1,30,96,4,2,2819,0.6142,1.0257,1.0116,13.944,0.185185185185185,0.501037037037037,0.246814814814815,0.066962962962963,1.5904,2.08808988764045
1,30,104,3,1,3628,0.968,1.0156,1.0116,6.7863,0.185481481481481,0.505777777777778,0.236444444444444,0.0722962962962963,1.99680511182109,3.64289396602226
1,30,61,3,1,3271,0.884,0.9749,0.966,12.6226,0.113185185185185,0.541037037037037,0.298074074074074,0.0477037037037037,1.69109947643979,5.7342004381161
1,30,86,4,1,3260,0.2386,1.0192,0.9011,9.9817,0.151407407407407,0.503407407407407,0.291555555555556,0.0536296296296296,1.74559686888454,3.36409652736904
1,30,96,2,2,1549,0.3636,1.035,0.9163,10.4231,0.144592592592593,0.528296296296296,0.272592592592593,0.0545185185185185,2.17213114754098,7.04035894559731
1,30,96,4,4,2746,0.9923,1.0211,1.0051,11.2775,0.175703703703704,0.499851851851852,0.255111111111111,0.0693333333333333,1.89544688026981,3.53435091879075
1,30,67,4,3,3607,0.3898,1.0159,1.0756,5.599,0.161481481481481,0.561777777777778,0.197037037037037,0.0797037037037037,1.51192660550459,2.4498417721519
1,30,105,4,4,1543,0.9994,0.959,0.9295,15.9714,0.157925925925926,0.521481481481481,0.287407407407407,0.0331851851851852,1.79362101313321,3.94671590909091
1,30,63,4,1,3901,0.638,1.0614,1.0464,6.3174,0.162666666666667,0.480296296296296,0.247703703703704,0.109333333333333,1.44262295081967,2.7968784700802
1,30,77,2,4,1366,0.4731,1.0586,1.0664,16.1894,0.173333333333333,0.523259259259259,0.23437037037037,0.069037037037037,2.43418803418803,7.12870894677237
1,30,114,3,3,1755,0.7127,0.9559,0.9295,5.6442,0.16237037037037,0.53837037037037,0.272888888888889,0.0263703703703704,2.17883211678832,5.78116675839296
1,30,90,4,3,3256,0.6776,0.9607,0.9252,18.2033,0.11762962962963,0.542814814814815,0.303111111111111,0.0364444444444444,1.29974811083123,4.45460152838428
1,30,93,2,3,3640,0.8663,1.0963,1.054,15.659,0.250074074074074,0.393481481481481,0.227555555555556,0.128888888888889,2.64928909952607,4.27351656626506
1,30,62,4,2,2202,0.683,1.0839,1.004,9.1047,0.158814814814815,0.473777777777778,0.288888888888889,0.0785185185185185,1.91044776119403,3.98595372107567
1,30,101,3,2,1992,0.9856,0.9201,0.9402,12.7915,0.125333333333333,0.546962962962963,0.295407407407407,0.0322962962962963,1.66430260047281,6.32653304442037
1,30,64,2,1,2867,0.2258,1.054,1.0521,14.4704,0.153185185185185,0.521185185185185,0.234962962962963,0.0906666666666667,2.18181818181818,6.01015918135304
1,30,78,3,2,2602,0.674,1.0175,0.9835,19.142,0.130962962962963,0.511407407407407,0.295111111111111,0.0625185185185185,1.80090497737557,5.61623406720742
1,30,110,4,1,2718,0.5257,1.0582,0.9691,5.7079,0.208,0.438814814814815,0.288,0.0651851851851852,1.97435897435897,2.73808237677245
1,30,114,3,3,1422,0.7451,1.054,0.9071,12.0019,0.152592592592593,0.488296296296296,0.312888888888889,0.0462222222222222,2.25631067961165,6.32441747572816
1,30,91,4,1,3609,0.9073,0.9606,0.9584,9.8114,0.126814814814815,0.546666666666667,0.287703703703704,0.0388148148148148,1.32242990654206,3.33917073170732
1,30,92,4,1,3698,0.291,1.0364,0.9485,5.2343,0.185481481481481,0.475259259259259,0.273481481481481,0.0657777777777778,1.79872204472843,2.56125311720698
1,30,81,3,2,3328,0.7976,0.9657,1.0974,15.4829,0.148148148148148,0.620444444444444,0.148444444444444,0.082962962962963,1.932,4.46241165234002
1,30,114,4,1,3096,0.9231,1.0874,1.0188,5.3977,0.257481481481481,0.414222222222222,0.244740740740741,0.0835555555555555,2.05523590333717,1.4988912732475
1,30,83,2,4,3832,0.7749,0.9027,0.9872,10.0962,0.0942222222222222,0.630518518518518,0.22962962962963,0.0456296296296296,1.22012578616352,6.25776315789474
1,30,89,3,3,3425,0.7867,1.0409,0.9,9.1546,0.121185185185185,0.430222222222222,0.399111111111111,0.0494814814814815,1.52567237163814,4.85267217630854
1,30,76,2,3,2089,0.7611,0.9806,0.9372,8.2417,0.0882962962962963,0.54637037037037,0.314074074074074,0.0512592592592593,1.44295302013423,7.12458785249458
1,30,93,2,3,3588,0.757,0.9986,0.9798,19.9668,0.144888888888889,0.509037037037037,0.288296296296296,0.0577777777777778,2.11042944785276,6.50027939464494
1,30,104,3,1,2485,0.5263,1.0255,1.0335,13.6553,0.182814814814815,0.514074074074074,0.233481481481481,0.0696296296296296,1.92220421393841,3.45187319884726
1,30,79,3,3,3012,0.278,1.0495,1.0489,15.1812,0.163555555555556,0.516740740740741,0.241481481481481,0.0782222222222222,2.11594202898551,5.00201834862385
1,30,78,3,2,3789,0.9194,1.0874,1.0467,9.979,0.216592592592593,0.40562962962963,0.25037037037037,0.127407407407407,2.42681258549932,3.79598977355734
1,30,90,4,4,3784,0.3142,1.0959,0.924,12.6501,0.187555555555556,0.379555555555556,0.34637037037037,0.0865185185185185,1.69352290679305,2.09822014051522
1,30,108,4,3,3741,0.2367,1.0881,0.9272,15.96,0.241481481481481,0.383407407407407,0.295703703703704,0.0794074074074074,2.15705521472393,1.52622874806801
1,30,76,4,1,1691,0.314,0.9208,0.9283,8.5321,0.129777777777778,0.581925925925926,0.255111111111111,0.0331851851851852,1.99543378995434,5.34571792260692
1,30,119,4,2,1133,0.4146,0.9246,0.9438,15.9739,0.184888888888889,0.548740740740741,0.230814814814815,0.0355555555555556,2.30769230769231,4.50606911447084
1,30,65,2,1,1735,0.771,0.9398,1.0917,17.1199,0.104,0.626962962962963,0.206518518518519,0.0625185185185185,1.63532763532764,6.16826559546314
1,30,90,2,2,1508,0.2497,0.9359,0.9989,13.7842,0.15762962962963,0.569777777777778,0.228740740740741,0.0438518518518519,2.4812030075188,7.37060842433697
1,30,98,3,2,2143,0.8013,1.0764,0.9245,11.8884,0.170074074074074,0.446222222222222,0.327703703703704,0.056,2.34146341463415,5.37085657370518
1,30,63,2,4,1631,0.2634,1.0831,0.9601,14.9229,0.131851851851852,0.518518518518518,0.275259259259259,0.0743703703703704,1.84719101123596,6.67434857142857
1,30,69,2,3,1962,0.5022,0.993,0.9126,14.203,0.104296296296296,0.545481481481481,0.305481481481481,0.0447407407407407,1.82954545454545,7.42725149375339
1,30,92,2,3,3236,0.7273,1.0328,0.9301,14.4588,0.122074074074074,0.472888888888889,0.348740740740741,0.0562962962962963,1.92233009708738,6.86437969924812
1,30,112,3,2,3509,0.9036,0.9797,1.0944,19.6071,0.215111111111111,0.56237037037037,0.139555555555556,0.082962962962963,2.37741046831956,3.90776080084299
1,30,110,3,3,1689,0.2283,1.0375,0.9858,19.9992,0.172444444444444,0.517925925925926,0.254222222222222,0.0554074074074074,2.24742268041237,5.07671052631579
1,30,75,4,4,3680,0.9948,0.9372,1.0921,17.9885,0.165333333333333,0.629333333333333,0.138074074074074,0.0672592592592593,1.89247311827957,3.35824858757062
1,30,110,2,4,3904,0.3268,1.0661,1.0096,19.2691,0.199407407407407,0.434074074074074,0.274666666666667,0.0918518518518519,2.46359583952452,4.9222252559727
1,30,111,2,3,2689,0.965,1.0597,1.0828,9.5782,0.225185185185185,0.504888888888889,0.181037037037037,0.0888888888888889,2.66052631578947,4.97856807511737
1,30,104,2,2,2450,0.2629,0.9324,1.0705,14.9483,0.159407407407407,0.592296296296296,0.202074074074074,0.0462222222222222,2.46096654275093,6.98850925462731
1,30,100,4,3,3016,0.2967,0.9389,0.9867,19.902,0.161481481481481,0.583703703703704,0.217481481481481,0.0373333333333333,1.9045871559633,3.46271573604061
1,30,112,2,4,2619,0.5563,1.0366,0.9074,6.9174,0.129777777777778,0.480296296296296,0.333037037037037,0.0568888888888889,1.92237442922374,7.29945095619988
1,30,110,3,2,3164,0.2174,1.0682,1.0356,7.7551,0.232296296296296,0.456592592592593,0.239407407407407,0.0717037037037037,2.48469387755102,3.40696950032446
1,30,85,2,3,2063,0.4466,0.9232,0.9881,9.1892,0.125037037037037,0.601185185185185,0.24,0.0337777777777778,1.93838862559242,6.97075899457861
