"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing","filenames"
1,1,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.25,0.5,0.7,0.139259259259259,0.443259259259259,0.16237037037037,0.255111111111111,0,0.580381471389646,0.356948228882834,0.0626702997275204,2.48510638297872,9.56695187165775,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00001_all_consistant_v3.csv"
1,2,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.1,0.5,0.5,0.284444444444444,0.439111111111111,0.137777777777778,0.138666666666667,0.272479564032698,0.419618528610354,0.209809264305177,0.0980926430517711,4.14166666666667,8.29294197031039,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00002_all_consistant_v3.csv"
1,3,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.4,0,0.6,0.0456296296296296,0.520592592592593,0.181037037037037,0.252740740740741,0.00817438692098093,0.547683923705722,0.302452316076294,0.141689373297003,1.48051948051948,9.01161070005691,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00003_all_consistant_v3.csv"
1,4,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.25,1,0.1,0.161481481481481,0.385185185185185,0.184,0.269333333333333,0.114441416893733,0.425068119891008,0.26158038147139,0.198910081743869,2.52477064220184,7.79882307692308,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00004_all_consistant_v3.csv"
1,5,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.1,0.5,0.5,0.247111111111111,0.425185185185185,0.140444444444444,0.187259259259259,0.125340599455041,0.446866485013624,0.231607629427793,0.196185286103542,3.64268585131894,7.70684320557491,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00005_all_consistant_v3.csv"
1,6,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.1,1,0.3,0.243259259259259,0.440888888888889,0.157333333333333,0.158518518518519,0.198910081743869,0.425068119891008,0.26158038147139,0.114441416893733,3.80024360535932,8.25792338709677,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00006_all_consistant_v3.csv"
1,7,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.1,1,0.5,0.279703703703704,0.430814814814815,0.138962962962963,0.150518518518519,0.264305177111717,0.425068119891008,0.26158038147139,0.0490463215258856,3.95338983050847,7.76352132049519,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00007_all_consistant_v3.csv"
1,8,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.4,0.5,0.1,0.0542222222222222,0.488296296296296,0.164740740740741,0.292740740740741,0.0681198910081744,0.455040871934605,0.17983651226158,0.29700272479564,1.68306010928962,10.4594720873786,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00008_all_consistant_v3.csv"
1,9,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.4,1,0.7,0.0891851851851852,0.403851851851852,0.151703703703704,0.355259259259259,0,0.425068119891008,0.26158038147139,0.313351498637602,2.09302325581395,8.59177549523111,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00009_all_consistant_v3.csv"
1,10,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.75,1,0.7,0.0272592592592593,0.445333333333333,0.140740740740741,0.386666666666667,0.00817438692098093,0.425068119891008,0.26158038147139,0.305177111716621,0.891304347826087,12.5500731869594,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00010_all_consistant_v3.csv"
1,11,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.25,0,0.5,0.103703703703704,0.455703703703704,0.164148148148148,0.276444444444444,0.0490463215258856,0.463215258855586,0.226158038147139,0.26158038147139,2.41142857142857,8.46343953185956,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00011_all_consistant_v3.csv"
1,12,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.1,1,0.3,0.235851851851852,0.434962962962963,0.144296296296296,0.184888888888889,0.20708446866485,0.425068119891008,0.26158038147139,0.106267029972752,3.48241206030151,7.83773841961853,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00012_all_consistant_v3.csv"
1,13,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.75,1,0.7,0.0278518518518519,0.457185185185185,0.138074074074074,0.376888888888889,0,0.425068119891008,0.26158038147139,0.313351498637602,0.787234042553192,14.40870382372,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00013_all_consistant_v3.csv"
1,14,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.75,0.5,0.5,0,0.637333333333333,0.109333333333333,0.253333333333333,0,0.602179836512262,0.201634877384196,0.196185286103542,NA,999,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00014_all_consistant_v3.csv"
1,15,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.75,0,0.1,0,0.64237037037037,0.206222222222222,0.151407407407407,0,0.602179836512262,0.223433242506812,0.174386920980926,NA,999,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00015_all_consistant_v3.csv"
1,16,"all",30,90,3,2,2000,0.25,1.05,1.05,17,0.4,0.5,0.7,0.098962962962963,0.448888888888889,0.153481481481481,0.298666666666667,0,0.547683923705722,0.356948228882834,0.0953678474114441,2.11377245508982,9.73670627062706,"hive_data/heat_all_constant_v3//Beehive Data Out Trial 00016_all_consistant_v3.csv"
