"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing","filenames"
1,1,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.15,0,0.6,0.209777777777778,0.453925925925926,0.188740740740741,0.147555555555556,0.0326975476839237,0.471389645776567,0.367847411444142,0.128065395095368,3.70056497175141,8.86622062663185,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00001_all_consistant_v2.csv"
1,2,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.4,1,0.7,0.0773333333333333,0.381037037037037,0.179259259259259,0.36237037037037,0,0.425068119891008,0.26158038147139,0.313351498637602,1.92337164750958,10.5552877138414,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00002_all_consistant_v2.csv"
1,3,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.4,0.5,0.1,0.0361481481481482,0.509925925925926,0.202666666666667,0.251259259259259,0.0871934604904632,0.408719346049046,0.198910081743869,0.305177111716621,1.67213114754098,9.76940732132481,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00003_all_consistant_v2.csv"
1,4,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.15,0.5,0.1,0.101925925925926,0.451259259259259,0.199407407407407,0.247407407407407,0.0435967302452316,0.44141689373297,0.307901907356948,0.20708446866485,2.0406976744186,8.44977675640184,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00004_all_consistant_v2.csv"
1,5,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.4,0.5,0.6,0.0675555555555555,0.469333333333333,0.177185185185185,0.285925925925926,0,0.534059945504087,0.316076294277929,0.149863760217984,1.47368421052632,9.81886994949495,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00005_all_consistant_v2.csv"
1,6,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.05,0.5,0.5,0.285925925925926,0.452444444444444,0.147555555555556,0.114074074074074,0.168937329700272,0.438692098092643,0.29700272479564,0.0953678474114441,4.20310880829016,8.29876227897839,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00006_all_consistant_v2.csv"
1,7,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.05,0,0.1,0.223407407407407,0.455111111111111,0.157333333333333,0.164148148148148,0.201634877384196,0.430517711171662,0.190735694822888,0.177111716621253,3.50132625994695,8.48185546875,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00007_all_consistant_v2.csv"
1,8,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.15,1,0.5,0.190222222222222,0.45037037037037,0.185777777777778,0.17362962962963,0.185286103542234,0.425068119891008,0.26158038147139,0.128065395095368,3.19314641744548,9.43526973684211,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00008_all_consistant_v2.csv"
1,9,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.05,1,0.3,0.286518518518519,0.473185185185185,0.155851851851852,0.0844444444444444,0.294277929155313,0.425068119891008,0.26158038147139,0.0190735694822888,4.61220268872802,9.4917532874139,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00009_all_consistant_v2.csv"
1,10,"all",30,90,2,1,2000,0.25,1.05,1.05,17,0.4,0.5,0.6,0.0714074074074074,0.490666666666667,0.173925925925926,0.264,0,0.553133514986376,0.332425068119891,0.114441416893733,2.22406639004149,11.5397041062802,"hive_data/heat_all_constant_v2//Beehive Data Out Trial 00010_all_consistant_v2.csv"
