"","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,66,4,2,3137,0.4888,0.9438,1.0546,15.6653,0.330666666666667,0.469333333333333,0.168,0.032
