"...1","trial_n","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,1,25,90,4,1,1149,0.875,0.929,1.056,11.4493,0.414814814814815,0.193481481481481,0.194074074074074,0.19762962962963,4.13857142857143,3.38724349157734
1,2,25,105,4,1,1465,0.5533,1.0586,1.083,11.6413,0.423111111111111,0.189333333333333,0.159407407407407,0.228148148148148,3.86834733893557,2.93550860719875
1,3,25,107,3,4,2029,0.5942,0.9619,1.0318,8.2451,0.459259259259259,0.16237037037037,0.143111111111111,0.235259259259259,4.01548387096774,4.59144160583942
1,4,25,100,3,3,1628,0.205,1.0927,1.0608,10.0234,0.451851851851852,0.177481481481481,0.118222222222222,0.252444444444444,4.12327868852459,3.57918196994992
1,5,25,90,4,4,1548,0.5292,1.0879,0.9941,16.4284,0.446814814814815,0.170666666666667,0.162666666666667,0.219851851851852,4.10477453580902,4.00486111111111
1,6,25,86,3,1,3936,0.3488,1.0213,0.9005,6.28,0.434962962962963,0.180148148148148,0.140740740740741,0.244148148148148,4.05994550408719,3.42036184210526
1,7,25,108,4,4,2088,0.7373,1.0924,0.9518,17.8903,0.381037037037037,0.168,0.160888888888889,0.290074074074074,3.68429237947123,4.01786596119929
1,8,25,97,3,2,1630,0.3182,0.9399,1.081,19.9904,0.272888888888889,0.331259259259259,0.193185185185185,0.202666666666667,4.2671009771987,10.1572003577818
1,9,25,112,4,1,1322,0.6299,1.0665,1.0088,16.2662,0.407111111111111,0.192296296296296,0.180148148148148,0.220444444444444,3.86026200873362,3.06992295839753
1,10,25,119,4,1,3733,0.8341,1.0514,0.95,18.4468,0.377777777777778,0.21837037037037,0.201777777777778,0.202074074074074,4.20078431372549,5.24803256445048
1,11,25,96,2,1,2437,0.793,0.9977,0.9594,12.6943,0.34962962962963,0.246518518518519,0.242666666666667,0.161185185185185,4.61016949152542,9.76171875
1,12,25,79,4,1,3603,0.8209,0.9984,1.0469,14.5389,0.389333333333333,0.209481481481481,0.202666666666667,0.198518518518519,4.1689497716895,6.09210749646393
1,13,25,76,3,4,2165,0.6734,1.0996,1.0784,7.6755,0.267259259259259,0.253333333333333,0.244148148148148,0.235259259259259,4.31263858093126,11.5113099415205
1,14,25,106,4,3,3674,0.5011,1.0106,1.0187,9.1082,0.472592592592593,0.183111111111111,0.140148148148148,0.204148148148148,4.47899686520376,4.51744336569579
1,15,25,92,3,4,1064,0.3114,0.9628,1.0853,16.4199,0.386666666666667,0.221925925925926,0.136888888888889,0.254518518518519,3.98620689655172,4.14504672897196
1,16,25,98,2,3,2699,0.5932,0.9062,1.0278,15.1584,0.414814814814815,0.224888888888889,0.181333333333333,0.178962962962963,4.50714285714286,5.20267457180501
1,17,25,66,4,4,1018,0.4285,0.9503,0.9208,14.7437,0.425777777777778,0.167407407407407,0.144296296296296,0.262518518518519,4.3437717466945,2.93111504424779
1,18,25,76,2,4,1349,0.5157,1.0463,1.0068,6.9546,0.419555555555556,0.167407407407407,0.161185185185185,0.251851851851852,4.09604519774011,4.61437168141593
1,19,25,80,4,3,1208,0.4292,0.9429,0.9406,17.0647,0.385481481481481,0.205925925925926,0.15762962962963,0.250962962962963,3.96771714066103,3.94657553956835
1,20,25,109,2,1,1552,0.4114,0.9152,0.9048,12.3353,0.33362962962963,0.237333333333333,0.181037037037037,0.248,3.81172291296625,5.63106117353308
1,21,25,99,2,1,3839,0.7332,1.0303,0.9607,7.5026,0.370074074074074,0.210962962962963,0.208888888888889,0.210074074074074,4.59727782225781,6.70900280898876
1,22,25,68,4,2,1346,0.3908,1.0625,0.9483,8.2915,0.496296296296296,0.164444444444444,0.136,0.203259259259259,4.13014925373134,2.15398198198198
1,23,25,66,2,2,1390,0.3126,0.9313,0.9834,19.3783,0.299259259259259,0.296592592592593,0.19437037037037,0.209777777777778,4.62574257425743,7.62965034965035
