"","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,86,4,1,3487,0.3172,0.9968,1.026,12.103,0.33362962962963,0.464296296296296,0.171851851851852,0.0302222222222222
