"...1","trial_n","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,38,30,63,4,4,3091,0.5809,1.033,0.9702,10.9643,0.0115555555555556,0.00059259259259259,0.978962962962963,0.00888888888888889,0.512820512820513,17.475
1,39,30,77,2,1,1193,0.9883,1.0143,0.9142,14.7569,0.0477037037037037,0.00414814814814815,0.934518518518519,0.0136296296296296,1.03105590062112,12.7657142857143
1,1,30,61,3,1,1888,0.4177,1.0492,1.0536,7.372,0.0687407407407407,0.0082962962962963,0.888888888888889,0.0340740740740741,1.38793103448276,9.82607142857143
1,2,30,67,3,3,1809,0.6028,1.0339,1.0566,13.494,0.0379259259259259,0.102222222222222,0.805925925925926,0.0539259259259259,0.546875,11.4224347826087
1,4,30,66,4,4,2197,0.2556,0.9121,0.9149,12.0922,0.0651851851851852,0.432592592592593,0.49362962962963,0.00859259259259259,1.12727272727273,11.8380684931507
1,5,30,104,4,2,2344,0.7862,1.0863,0.9812,10.0068,0.0325925925925926,0.00029629629629629,0.965925925925926,0.00118518518518519,0.6,8.89
1,7,30,61,2,4,3173,0.6101,0.9312,0.9474,12.1732,0.0198518518518519,0.00651851851851852,0.948740740740741,0.0248888888888889,0.388059701492537,14.5936363636364
1,8,30,99,2,4,3850,0.3324,1.0178,0.9681,15.6794,0.037037037037037,0.410666666666667,0.531851851851852,0.0204444444444444,0.624,11.5287445887446
1,9,30,81,2,1,1272,0.5074,1.022,1.0258,13.5865,0.0684444444444444,0.10162962962963,0.761481481481482,0.0684444444444444,1.51515151515152,11.2449854227405
1,10,30,80,4,2,3939,0.3063,0.9348,0.9052,14.0449,0.0388148148148148,0.0725925925925926,0.805925925925926,0.0826666666666667,0.778625954198473,11.7710204081633
1,11,30,69,3,4,1072,0.2423,1.0419,0.9012,7.1248,0.12,0.384296296296296,0.452740740740741,0.042962962962963,2.33086419753086,10.9367154973015
1,14,30,67,4,4,1584,0.9636,1.0082,0.9662,14.8229,0.0284444444444444,0.0580740740740741,0.877037037037037,0.0364444444444444,0.708333333333333,13.1967857142857
1,16,30,108,2,1,1418,0.5275,1.0937,0.9776,17.7829,0.0847407407407407,0.153185185185185,0.716148148148148,0.0459259259259259,1.51748251748252,10.9595551257253
1,17,30,83,3,3,2695,0.7658,1.088,0.9884,17.6713,0.0260740740740741,0.0103703703703704,0.952296296296296,0.0112592592592593,0.590909090909091,11.748
1,18,30,118,3,4,1631,0.4662,1.0969,0.9924,10.4442,0.074962962962963,0.312296296296296,0.588740740740741,0.024,1.28853754940711,11.2593548387097
1,21,30,69,4,2,3373,0.3383,1.0503,0.9712,5.5778,0.0583703703703704,0.00088888888888888,0.929481481481481,0.0112592592592593,1.14720812182741,7.2
1,22,30,106,4,1,1001,0.9687,0.9423,0.9226,11.681,0.0628148148148148,0.0139259259259259,0.893037037037037,0.0302222222222222,1.22641509433962,11.7442553191489
1,23,30,116,2,3,1542,0.3083,0.9977,1.0616,18.0919,0.108148148148148,0.462222222222222,0.410666666666667,0.018962962962963,1.91232876712329,11.1026602564103
1,24,30,118,3,1,3152,0.4469,0.9722,1.0928,10.7708,0.0539259259259259,0.00148148148148148,0.943111111111111,0.00148148148148148,0.912087912087912,4.134
1,25,30,98,2,2,3389,0.6066,1.0464,0.9477,17.4689,0.0293333333333333,0.00237037037037037,0.960296296296296,0.008,0.565656565656566,12.38875
1,26,30,83,3,3,1689,0.8219,0.9532,1.0543,7.8007,0.0379259259259259,0.00059259259259259,0.957037037037037,0.00444444444444444,0.75,15.03
1,29,30,81,4,4,1203,0.7572,0.9633,0.9919,10.8487,0.0376296296296296,0.192296296296296,0.719111111111111,0.050962962962963,0.881889763779528,12.2971802773498
1,33,30,112,2,3,1555,0.6437,1.0541,1.0218,15.1174,0.045037037037037,0.203555555555556,0.704592592592593,0.0468148148148148,0.973684210526316,12.3715429403202
1,34,30,81,2,4,2958,0.8063,0.9904,0.9733,17.0194,0.0115555555555556,0.00207407407407407,0.968888888888889,0.0174814814814815,0.0512820512820513,18.4185714285714
1,36,30,95,2,1,2019,0.2881,0.9933,0.9947,15.4905,0.093037037037037,0.193481481481481,0.644740740740741,0.0687407407407407,1.70700636942675,11.1897396630934
1,37,30,97,3,1,2202,0.3027,0.9506,0.9122,14.7489,0.0924444444444444,0.184,0.662222222222222,0.0613333333333333,1.66666666666667,10.9736714975845
1,38,30,79,4,2,1975,0.3193,0.9452,1.0809,10.3407,0.0844444444444444,0.174518518518519,0.674074074074074,0.066962962962963,1.51578947368421,11.6299830220713
1,40,30,82,2,3,1231,0.4326,0.9429,0.925,14.0445,0.0687407407407407,0.384296296296296,0.519111111111111,0.0278518518518519,1.38793103448276,11.9188203546646
1,75,30,114,2,2,3832,0.3202,1.0388,1.0901,15.6929,0.0441481481481481,0.0785185185185185,0.806814814814815,0.0705185185185185,0.684563758389262,12.1595094339623
1,38,30,82,2,2,1136,0.2449,0.968,1.0444,8.4471,0.139555555555556,0.348444444444444,0.466962962962963,0.045037037037037,2.56475583864119,11.0650850340136
1,40,30,89,3,4,2085,0.4661,1.0364,1.0859,5.0842,0.0456296296296296,0.00622222222222222,0.923259259259259,0.0248888888888889,0.74025974025974,11.3380952380952
1,33,30,73,2,3,3949,0.3202,1.0699,1.065,7.6465,0.0257777777777778,0.00237037037037037,0.959703703703704,0.0121481481481481,0.666666666666667,11.03875
1,38,30,94,3,4,1235,0.2629,0.9309,1.0245,16.9385,0.120296296296296,0.462222222222222,0.404740740740741,0.0127407407407407,2.24137931034483,10.9813333333333
1,1,25,64,2,4,2660,0.3301,0.9824,0.9229,13.9773,0.0438518518518519,0.443259259259259,0.504,0.00888888888888889,0.918918918918919,11.3957352941176
1,2,25,113,2,2,1431,0.2263,1.0754,1.0114,12.3776,0.167407407407407,0.406518518518519,0.396444444444444,0.0296296296296296,3.01592920353982,10.9422011661808
1,3,25,102,4,3,1452,0.7744,1.0547,1.0174,11.2118,0.0580740740740741,0.176296296296296,0.719703703703704,0.0459259259259259,1.27551020408163,11.1592268907563
1,4,25,97,4,4,2144,0.962,1.0377,1.0915,9.8813,0.0322962962962963,0.0077037037037037,0.942222222222222,0.0177777777777778,0.532110091743119,12.1526923076923
1,5,25,114,2,4,2305,0.669,1.0454,0.9051,9.8792,0.0536296296296296,0.107259259259259,0.793777777777778,0.0453333333333333,0.850828729281768,11.5725414364641
1,6,25,77,2,3,3401,0.6307,0.9814,1.0664,18.0625,0.0225185185185185,0.0791111111111111,0.805037037037037,0.0933333333333333,0.394736842105263,11.6420599250936
1,7,25,98,2,2,1744,0.939,1.083,0.9612,14.6651,0.0405925925925926,0.0281481481481481,0.895407407407407,0.0358518518518519,0.817518248175182,12.988
1,8,25,99,2,2,1660,0.8367,0.9846,0.9171,19.2,0.0420740740740741,0.184,0.721185185185185,0.0527407407407407,0.788732394366197,11.5663929146538
1,9,25,70,2,3,2169,0.5689,0.9789,1.0152,16.0714,0.0287407407407407,0.319111111111111,0.622814814814815,0.0293333333333333,0.536082474226804,11.7349953574745
1,10,25,89,4,3,3255,0.6773,1.0454,1.0733,15.1991,0.0177777777777778,0.00918518518518519,0.915555555555556,0.0574814814814815,0.233333333333333,13.3058064516129
1,11,25,116,4,2,2690,0.2252,1.0972,1.0362,9.8854,0.13362962962963,0.259851851851852,0.552296296296296,0.0542222222222222,2.31485587583149,10.93330672748
1,12,25,120,2,2,2724,0.6382,1.0576,0.9452,17.8387,0.0447407407407407,0.0817777777777778,0.816592592592593,0.0568888888888889,1.00662251655629,12.371884057971
1,13,25,117,4,4,2705,0.4021,0.9443,0.9521,19.1645,0.0551111111111111,0.468444444444444,0.472296296296296,0.00414814814814815,0.978494623655914,11.129898798229
1,14,25,78,2,2,2157,0.7621,0.9819,0.9526,12.483,0.0302222222222222,0.00414814814814815,0.942222222222222,0.0234074074074074,0.549019607843137,12.1135714285714
1,15,25,93,4,3,3416,0.5405,1.0021,0.939,15.7118,0.026962962962963,0.154666666666667,0.740148148148148,0.0782222222222222,0.703296703296703,11.8825478927203
