"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing"
1,26,"all",30,83,4,3,1913,0.2697,0.9262,1.072,18.1666,0.2588,0.5279,0.0183,0.0992592592592593,0.494518518518519,0.14637037037037,0.259851851851852,0.272479564032698,0.365122615803815,0.103542234332425,0.258855585831063,1.98805970149254,6.50920311563811
1,27,"all",30,82,2,1,1063,0.8477,1.0085,1.0566,11.8869,0.6743,0.4273,0.7926,0.0225185185185185,0.645925925925926,0.0856296296296296,0.245925925925926,0,0.651226158038147,0.171662125340599,0.177111716621253,0.973684210526316,13.7908073394495
1,28,"all",30,116,4,3,1539,0.8072,1.0343,1.0423,18.7567,0.4638,0.8212,0.898,0.110518518518519,0.44,0.139851851851852,0.30962962962963,0,0.553133514986376,0.335149863760218,0.111716621253406,2.15013404825737,14.6528754208754
1,29,"all",30,95,2,1,2382,0.4684,0.908,1.0667,14.2542,0.1094,0.0397,0.0452,0.259555555555556,0.449481481481481,0.133037037037037,0.157925925925926,0.332425068119891,0.395095367847411,0.136239782016349,0.136239782016349,3.77397260273973,8.31284113381674
1,30,"all",30,98,4,3,1049,0.369,0.9159,0.9851,9.1278,0.4353,0.1713,0.4195,0.0299259259259259,0.59762962962963,0.217777777777778,0.154666666666667,0.0272479564032698,0.55858310626703,0.291553133514986,0.122615803814714,0.831683168316832,8.64156668319286
1,31,"all",30,79,2,1,2753,0.5223,1.057,0.9793,13.5274,0.551,0.1755,0.3615,0.00118518518518519,0.608,0.0817777777777778,0.309037037037037,0,0.643051771117166,0.0844686648501362,0.272479564032698,0,23.2839230019493
1,32,"all",30,90,3,4,1779,0.7995,0.9953,1.0048,7.2075,0.0556,0.9775,0.7819,0.297777777777778,0.365333333333333,0.125333333333333,0.211555555555556,0,0.490463215258856,0.356948228882834,0.152588555858311,4.15522388059702,12.4816463909165
1,33,"all",30,101,3,3,1231,0.5139,0.9783,0.9615,10.1322,0.3304,0.9843,0.0745,0.0891851851851852,0.479111111111111,0.12237037037037,0.309333333333333,0.0735694822888283,0.430517711171662,0.277929155313351,0.217983651226158,1.32890365448505,7.00190476190476
1,34,"all",30,68,4,3,3691,0.9441,0.9739,1.0308,5.3355,0.6998,0.3479,0.4556,0.00651851851851852,0.710518518518519,0.018962962962963,0.264,0,0.743869209809264,0.0435967302452316,0.212534059945504,0.272727272727273,13.2979357798165
1,35,"all",30,81,2,1,1487,0.9065,1.0236,0.9145,10.8291,0.0384,0.081,0.1356,0.321481481481481,0.413925925925926,0.154666666666667,0.109925925925926,0.348773841961853,0.365122615803815,0.212534059945504,0.0735694822888283,4.60276497695853,8.49118826055834
1,36,"all",30,87,3,1,3969,0.4271,0.9923,0.9983,11.3136,0.7163,0.0655,0.4286,0,0.766222222222222,0.0337777777777778,0.2,0,0.746594005449591,0.0408719346049046,0.212534059945504,NA,999
1,37,"all",30,89,4,3,2544,0.9487,1.0084,1.0328,17.7957,0.7709,0.633,0.6042,0.008,0.596148148148148,0.0696296296296296,0.326222222222222,0,0.637602179836512,0.122615803814714,0.239782016348774,0.222222222222222,21.4546222664016
1,38,"all",30,83,2,1,3647,0.6168,0.9138,0.9679,18.2207,0.6264,0.6092,0.1055,0,0.772740740740741,0.0322962962962963,0.194962962962963,0,0.743869209809264,0.0599455040871935,0.196185286103542,NA,999
1,39,"all",30,101,2,4,2624,0.5882,1.071,0.9839,14.8675,0.7144,0.1615,0.7933,0.034962962962963,0.492740740740741,0.0957037037037037,0.376592592592593,0,0.686648501362398,0.185286103542234,0.128065395095368,1.08474576271186,11.3877871316897
1,40,"all",30,80,2,4,1616,0.717,1.0012,1.032,10.3039,0.9624,0.5524,0.5473,0,0.705481481481481,0.0557037037037037,0.238814814814815,0,0.727520435967302,0.100817438692098,0.171662125340599,NA,999
1,1,"all",30,110,2,4,2183,0.9641,1.0444,1.016,10.6716,0.5256,0.2048,0.0471,0.0619259259259259,0.517037037037037,0.0536296296296296,0.367407407407407,0.0190735694822888,0.561307901907357,0.0762942779291553,0.343324250681199,1.42583732057416,7.29282521489971
1,2,"all",30,75,2,4,3179,0.7142,1.0694,1.0151,12.0507,0.4247,0.1943,0.8794,0.0637037037037037,0.476148148148148,0.0897777777777778,0.37037037037037,0,0.667574931880109,0.114441416893733,0.217983651226158,2.03720930232558,13.6571188550093
1,3,"all",30,115,4,1,1021,0.3224,0.9244,0.9559,9.2976,0.4275,0.5641,0.6347,0.0820740740740741,0.581037037037037,0.16562962962963,0.171259259259259,0.00272479564032698,0.591280653950954,0.299727520435967,0.106267029972752,1.68231046931408,7.81292197858236
1,4,"all",30,97,3,3,1949,0.9174,1.0558,0.9423,11.9557,0.1269,0.9853,0.2653,0.31437037037037,0.305185185185185,0.0998518518518519,0.280592592592593,0.0844686648501362,0.452316076294278,0.305177111716621,0.158038147138965,3.38925541941565,5.56032038834951
1,5,"all",30,76,2,1,3872,0.5449,0.9594,1.0928,18.1272,0.8901,0.3964,0.3198,0,0.781333333333333,0.0263703703703704,0.192296296296296,0,0.787465940054496,0.0326975476839237,0.17983651226158,NA,999
1,6,"all",30,68,4,1,2049,0.5753,1.0484,1.0387,8.4471,0.4669,0.3552,0.0825,0.0391111111111111,0.575111111111111,0.0814814814814815,0.304296296296296,0.0572207084468665,0.610354223433243,0.0544959128065395,0.277929155313351,0.954545454545455,7.16904688304997
1,7,"all",30,79,4,3,1831,0.4503,0.9477,1.0443,18.3228,0.1691,0.8372,0.5677,0.182814814814815,0.436148148148148,0.126814814814815,0.254222222222222,0.0190735694822888,0.514986376021798,0.313351498637602,0.152588555858311,2.645056726094,5.6565964673913
1,8,"all",30,111,3,3,1208,0.2452,1.0844,0.9243,19.6854,0.8088,0.6931,0.0154,0,0.572148148148148,0.22637037037037,0.201481481481481,0,0.544959128065395,0.332425068119891,0.122615803814714,NA,999
1,9,"all",30,93,2,3,3985,0.4877,0.9712,1.0792,7.6872,0.7787,0.1894,0.5602,0,0.783703703703704,0.0251851851851852,0.191111111111111,0,0.76566757493188,0.0326975476839237,0.201634877384196,NA,999
