"...1","trial_n","days","n","rb","rn","w","pph","ph","pp","k","pBrood","pHoney","pPollen","pEmpty","broodMetric","pollenRing"
1,1,25,105,2,3,2243,0.9823,0.9936,0.9049,11.8445,0.446518518518519,0.395851851851852,0.0308148148148148,0.126814814814815,4.85202388852024,5.87445359281437
1,2,25,69,4,1,2174,0.4096,0.9589,0.9567,13.8599,0.321777777777778,0.432592592592593,0.137481481481481,0.108148148148148,4.72744014732965,6.50587671232877
1,3,25,115,2,4,1443,0.953,1.0118,1.0157,12.1834,0.469037037037037,0.401185185185185,0.0272592592592593,0.102518518518519,4.86923562855338,5.88190546528804
1,4,25,70,2,1,3299,0.6331,0.987,1.0085,8.5068,0.34962962962963,0.410666666666667,0.115555555555556,0.124148148148148,4.73559322033898,7.65764069264069
1,5,25,104,2,1,3113,0.3496,1.073,0.9931,16.1611,0.349037037037037,0.440296296296296,0.129481481481481,0.0811851851851852,4.95246179966044,8.85977792732167
1,6,25,84,3,2,2422,0.3771,0.9393,1.0027,16.079,0.371259259259259,0.462518518518518,0.0764444444444444,0.0897777777777778,5.03112529928172,7.73647021140295
1,7,25,107,4,2,1643,0.6785,1.0975,0.967,14.2256,0.392296296296296,0.455703703703704,0.0654814814814815,0.0865185185185185,4.95468277945619,7.45382314694408
1,8,25,61,3,4,1022,0.4169,0.9208,1.0075,8.5303,0.317037037037037,0.444148148148148,0.120296296296296,0.118518518518519,4.37757009345794,6.98953969312875
1,9,25,99,4,3,3397,0.7685,0.9186,0.9256,9.4236,0.449777777777778,0.387851851851852,0.0334814814814815,0.128888888888889,4.87615283267457,6.64838808250573
1,10,25,116,4,1,2039,0.2122,0.9737,1.0948,9.888,0.356148148148148,0.428444444444444,0.137777777777778,0.0776296296296296,4.74875207986689,6.80163208852005
1,11,25,90,3,2,3291,0.6204,0.9104,0.9199,18.9909,0.400296296296296,0.465185185185185,0.0471111111111111,0.0874074074074074,5.10288675055514,7.50864968152866
1,12,25,117,4,2,1382,0.4148,0.9394,1.0282,18.7848,0.37362962962963,0.471111111111111,0.08,0.0752592592592593,4.99127676447264,7.68286163522013
1,13,25,98,3,4,1834,0.6277,1.0241,1.018,7.2912,0.481777777777778,0.385481481481481,0.0408888888888889,0.0918518518518519,5.0590405904059,6.43159108378171
1,14,25,84,4,1,1033,0.2854,0.9183,0.9744,9.6478,0.352,0.443555555555556,0.150222222222222,0.0542222222222222,4.98653198653199,6.7537541750167
1,15,25,119,2,1,2956,0.5602,1.0289,1.0661,7.5447,0.403259259259259,0.372148148148148,0.105185185185185,0.119407407407407,4.97281410727406,6.75042993630573
1,17,25,117,3,4,1326,0.3573,0.9947,0.9789,5.4707,0.452148148148148,0.405333333333333,0.0764444444444444,0.0660740740740741,5.0170380078637,5.94769736842105
1,18,25,111,4,3,3127,0.9604,1.0055,0.9552,9.2002,0.481481481481481,0.376296296296296,0.0257777777777778,0.116444444444444,5.03138461538462,6.39583464566929
1,19,25,91,2,2,3579,0.3497,0.9247,1.0096,10.8278,0.368296296296296,0.443259259259259,0.0711111111111111,0.117333333333333,4.82220434432824,7.40701203208556
1,20,25,99,4,2,1057,0.67,0.9455,0.9101,16.4091,0.389333333333333,0.463407407407407,0.0782222222222222,0.069037037037037,5.12024353120244,7.6329283887468
1,21,25,77,2,2,2012,0.8927,0.9707,0.9325,6.2317,0.381037037037037,0.417481481481482,0.0817777777777778,0.119703703703704,4.85692068429238,7.17970191625266
1,22,25,104,2,1,1793,0.718,0.9785,1.0561,6.1409,0.359407407407407,0.439407407407407,0.077037037037037,0.124148148148148,4.57048639736191,6.60914362778152
1,23,25,94,2,1,2049,0.8986,1.045,0.9776,9.2789,0.375703703703704,0.374518518518519,0.139259259259259,0.110518518518519,4.8391167192429,6.82795094936709
1,24,25,66,4,3,3741,0.5131,1.0785,1.0764,9.7646,0.379555555555556,0.379555555555556,0.0743703703703704,0.166518518518519,4.60577673692428,6.4915612802498
1,25,25,106,3,1,3837,0.4712,1.0906,0.9279,17.7267,0.394074074074074,0.442962962962963,0.0906666666666667,0.0722962962962963,5.19097744360902,7.86073578595318
1,26,25,67,4,4,3791,0.9559,0.9005,1.044,7.0178,0.394666666666667,0.374518518518519,0.0343703703703704,0.196444444444444,4.41441441441441,6.74199367088608
1,27,25,103,4,1,1996,0.7727,1.0966,1.058,12.9848,0.407111111111111,0.413037037037037,0.118814814814815,0.061037037037037,5.24454148471616,7.33164275466284
1,28,25,76,3,2,1857,0.9655,0.9475,1.0477,12.7444,0.384888888888889,0.431111111111111,0.0725925925925926,0.111407407407407,4.86374133949192,6.98459793814433
1,29,25,106,3,2,2596,0.889,0.9573,1.0837,9.5032,0.447111111111111,0.392888888888889,0.0693333333333333,0.0906666666666667,5.13717693836978,7.01395173453997
1,30,25,63,2,3,3682,0.4545,1.077,0.9029,8.6881,0.374222222222222,0.390222222222222,0.085037037037037,0.150518518518519,4.72525732383215,8.1419589977221
1,31,25,111,4,1,3577,0.4483,1.0568,1.062,19.0311,0.368296296296296,0.449481481481481,0.0805925925925926,0.10162962962963,4.79002413515688,7.56747528015821
