"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing","filenames"
1,27,"brood",30,104,4,3,1533,0.9477,0.9227,1.0688,16.491,0.0485,0.4181,0.7643,0.338074074074074,0.417777777777778,0.0604444444444444,0.183703703703704,0.501362397820163,0.272479564032698,0.0326975476839237,0.193460490463215,4.045574057844,6.56822695035461,"hive_data/heat_brood//Beehive Data Out Trial 01727_brood.csv"
1,28,"brood",30,60,3,3,2075,0.6898,1.0298,1.0164,18.5873,0.2205,0.8078,0.844,0.0826666666666667,0.480888888888889,0.151111111111111,0.285333333333333,0.256130790190736,0.11716621253406,0.0190735694822888,0.607629427792916,1.63440860215054,12.3945532963648,"hive_data/heat_brood//Beehive Data Out Trial 01728_brood.csv"
1,29,"brood",30,78,3,3,1661,0.2315,1.0233,1.0964,13.0583,0.0174,0.7398,0.7102,0.341925925925926,0.412148148148148,0.112888888888889,0.133037037037037,0.534059945504087,0.182561307901907,0.0926430517711172,0.190735694822888,4.33795493934142,6.5658950395399,"hive_data/heat_brood//Beehive Data Out Trial 01729_brood.csv"
1,30,"brood",30,61,3,3,2453,0.7315,1.0784,0.9785,10.7185,0.5256,0.4889,0.2051,0,0.606518518518519,0.117037037037037,0.276444444444444,0,0.572207084468665,0.128065395095368,0.299727520435967,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01730_brood.csv"
1,31,"brood",30,85,2,4,3404,0.2695,1.075,0.9392,9.7134,0.2079,0.0259,0.6019,0.121481481481481,0.362074074074074,0.234962962962963,0.281481481481481,0.0735694822888283,0.340599455040872,0.253405994550409,0.332425068119891,2.08292682926829,7.07648117839607,"hive_data/heat_brood//Beehive Data Out Trial 01731_brood.csv"
1,32,"brood",30,68,4,3,3355,0.5487,0.9627,1.0125,10.5152,0.5931,0.8272,0.7908,0.00059259259259259,0.785185185185185,0.0228148148148148,0.191407407407407,0.00272479564032698,0.689373297002725,0.0245231607629428,0.283378746594005,0,24.9232452830189,"hive_data/heat_brood//Beehive Data Out Trial 01732_brood.csv"
1,33,"brood",30,66,4,4,1298,0.6043,1.0731,1.0487,9.6849,0.5341,0.8179,0.5471,0.0216296296296296,0.592888888888889,0.110222222222222,0.275259259259259,0.0408719346049046,0.553133514986376,0.125340599455041,0.280653950953678,0.465753424657534,8.25992503748126,"hive_data/heat_brood//Beehive Data Out Trial 01733_brood.csv"
1,34,"brood",30,67,4,1,1461,0.4986,1.0958,0.9655,17.2009,0.9102,0.2695,0.9947,0,0.589925925925926,0.267851851851852,0.142222222222222,0,0.534059945504087,0.318801089918256,0.147138964577657,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01734_brood.csv"
1,35,"brood",30,99,4,3,3803,0.3435,0.9768,1.0345,13.8184,0.9178,0.4641,0.8618,0,0.803851851851852,0.0299259259259259,0.166222222222222,0,0.803814713896458,0.0408719346049046,0.155313351498638,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01735_brood.csv"
1,36,"brood",30,112,4,4,2144,0.5065,0.9122,1.0536,9.5274,0.0643,0.2967,0.8543,0.396740740740741,0.417185185185185,0.0417777777777778,0.144296296296296,0.433242506811989,0.354223433242507,0.0299727520435967,0.182561307901907,4.32412247946229,5.89171875,"hive_data/heat_brood//Beehive Data Out Trial 01736_brood.csv"
1,37,"brood",30,94,4,3,1112,0.833,0.9307,1.0649,12.4242,0.7002,0.4511,0.7964,0.0165925925925926,0.670814814814815,0.0651851851851852,0.247407407407407,0.00544959128065395,0.623978201634877,0.0871934604904632,0.283378746594005,0.75,10.0707067137809,"hive_data/heat_brood//Beehive Data Out Trial 01737_brood.csv"
1,38,"brood",30,77,4,1,2751,0.7427,0.9838,0.937,16.3352,0.4371,0.5241,0.7887,0.0397037037037037,0.573925925925926,0.236740740740741,0.14962962962963,0.0626702997275204,0.452316076294278,0.280653950953678,0.204359673024523,1.94029850746269,11.3714042333505,"hive_data/heat_brood//Beehive Data Out Trial 01738_brood.csv"
1,39,"brood",30,62,4,1,1578,0.5332,0.9948,1.0584,11.0019,0.5972,0.3387,0.6255,0.016,0.690962962962963,0.0734814814814815,0.219555555555556,0.0435967302452316,0.618528610354223,0.0653950953678474,0.272479564032698,0.962962962962963,14.1411706689537,"hive_data/heat_brood//Beehive Data Out Trial 01739_brood.csv"
1,40,"brood",30,72,3,3,1841,0.6895,0.9816,1.0418,14.6043,0.9118,0.7458,0.9479,0,0.786962962962963,0.0343703703703704,0.178666666666667,0,0.776566757493188,0.0354223433242507,0.188010899182561,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01740_brood.csv"
1,1,"brood",30,66,4,3,3634,0.477,1.0402,0.9798,17.5696,0.4928,0.3548,0.0586,0.050962962962963,0.520592592592593,0.163259259259259,0.265185185185185,0.217983651226158,0.160762942779292,0.0108991825613079,0.610354223433243,1.75581395348837,15.2777404667046,"hive_data/heat_brood//Beehive Data Out Trial 01801_brood.csv"
1,2,"brood",30,118,3,2,3097,0.4898,0.9886,1.0051,17.0365,0.1403,0.7106,0.3833,0.277333333333333,0.405925925925926,0.0832592592592593,0.233481481481481,0.190735694822888,0.411444141689373,0.147138964577657,0.250681198910082,3.47863247863248,6.37127737226277,"hive_data/heat_brood//Beehive Data Out Trial 01802_brood.csv"
1,3,"brood",30,111,4,3,1068,0.9633,0.9222,0.9988,18.9654,0.1783,0.0603,0.0596,0.241185185185185,0.440592592592593,0.0847407407407407,0.233481481481481,0.250681198910082,0.376021798365123,0.0871934604904632,0.286103542234332,2.93857493857494,6.67479488903833,"hive_data/heat_brood//Beehive Data Out Trial 01803_brood.csv"
1,4,"brood",30,110,3,1,1912,0.4473,0.9119,1.0175,14.1603,0.7013,0.2558,0.6124,0.0145185185185185,0.724740740740741,0.102222222222222,0.158518518518519,0.0136239782016349,0.637602179836512,0.0953678474114441,0.253405994550409,0.938775510204082,13.392170891251,"hive_data/heat_brood//Beehive Data Out Trial 01804_brood.csv"
1,5,"brood",30,99,2,4,2998,0.3208,1.0325,1.0576,6.2306,0.3815,0.6266,0.6927,0.0817777777777778,0.599407407407407,0.058962962962963,0.259851851851852,0.0762942779291553,0.599455040871935,0.0463215258855586,0.277929155313351,2.09420289855072,10.3071478002966,"hive_data/heat_brood//Beehive Data Out Trial 01805_brood.csv"
1,6,"brood",30,118,2,2,1121,0.2604,1.0869,1.0529,8.664,0.531,0.695,0.1433,0.0468148148148148,0.532444444444444,0.221333333333333,0.199407407407407,0.00817438692098093,0.544959128065395,0.272479564032698,0.174386920980926,1.15189873417722,10.3200834724541,"hive_data/heat_brood//Beehive Data Out Trial 01806_brood.csv"
1,7,"brood",30,89,3,4,3843,0.9952,0.9617,0.9828,14.2358,0.6435,0.4642,0.9385,0.0145185185185185,0.720296296296296,0.0317037037037037,0.233481481481481,0,0.85558583106267,0.0299727520435967,0.114441416893733,0.73469387755102,15.477235705471,"hive_data/heat_brood//Beehive Data Out Trial 01807_brood.csv"
1,8,"brood",30,101,3,3,1719,0.889,1.0675,0.9319,13.3002,0.1576,0.6182,0.7767,0.217777777777778,0.380444444444444,0.126222222222222,0.275555555555556,0.302452316076294,0.256130790190736,0.0817438692098093,0.359673024523161,2.84625850340136,6.73781931464174,"hive_data/heat_brood//Beehive Data Out Trial 01808_brood.csv"
1,9,"brood",30,119,2,3,1424,0.821,0.9861,1.0542,8.8269,0.2077,0.1175,0.5345,0.228444444444444,0.482962962962963,0.0533333333333333,0.235259259259259,0.185286103542234,0.474114441416894,0.0871934604904632,0.253405994550409,3.0064850843061,6.01048466257669,"hive_data/heat_brood//Beehive Data Out Trial 01809_brood.csv"
1,10,"brood",30,64,3,4,1295,0.7028,0.9144,0.9467,15.0702,0.6419,0.4962,0.2418,0,0.670814814814815,0.245925925925926,0.0832592592592593,0,0.602179836512262,0.310626702997275,0.0871934604904632,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01810_brood.csv"
1,11,"brood",30,75,4,4,1251,0.3318,1.0852,1.0286,9.1146,0.5806,0.8888,0.7137,0.0237037037037037,0.574222222222222,0.228740740740741,0.173333333333333,0.0544959128065395,0.506811989100817,0.239782016348774,0.198910081743869,0.8,15.0530134158927,"hive_data/heat_brood//Beehive Data Out Trial 01811_brood.csv"
1,12,"brood",30,60,2,3,2031,0.3933,1.0138,0.9624,15.5348,0.6005,0.5151,0.4188,0,0.673481481481481,0.196148148148148,0.13037037037037,0,0.629427792915531,0.239782016348774,0.130790190735695,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01812_brood.csv"
1,13,"brood",30,108,4,4,3908,0.2118,0.9372,1.0071,8.0247,0.9897,0.9072,0.4117,0,0.848,0.0343703703703704,0.11762962962963,0,0.833787465940054,0.0408719346049046,0.125340599455041,NA,999,"hive_data/heat_brood//Beehive Data Out Trial 01813_brood.csv"
1,14,"brood",30,97,4,2,3478,0.9986,1.076,0.9784,12.8685,0.1887,0.3154,0.4567,0.181925925925926,0.304592592592593,0.161481481481481,0.352,0.307901907356948,0.223433242506812,0.106267029972752,0.362397820163488,2.53094462540717,5.52016536964981,"hive_data/heat_brood//Beehive Data Out Trial 01814_brood.csv"
1,15,"brood",30,73,4,1,3416,0.5286,1.0969,1.0044,11.106,0.0374,0.6735,0.0787,0.325925925925926,0.365037037037037,0.177481481481481,0.131555555555556,0.416893732970027,0.348773841961853,0.188010899182561,0.0463215258855586,4.49454545454545,7.8643262987013,"hive_data/heat_brood//Beehive Data Out Trial 01815_brood.csv"
1,16,"brood",30,82,3,2,3495,0.9012,0.9514,0.965,11.2702,0.5114,0.1174,0.8217,0.0328888888888889,0.686222222222222,0.042962962962963,0.237925925925926,0.0572207084468665,0.520435967302452,0.0245231607629428,0.397820163487738,1.26126126126126,10.2641191709845,"hive_data/heat_brood//Beehive Data Out Trial 01816_brood.csv"
1,17,"brood",30,105,4,1,1210,0.5765,1.0242,0.9424,9.821,0.3175,0.5605,0.7825,0.0764444444444444,0.521481481481481,0.228148148148148,0.173925925925926,0.0817438692098093,0.444141689373297,0.280653950953678,0.193460490463215,1.67441860465116,6.36901704545455,"hive_data/heat_brood//Beehive Data Out Trial 01817_brood.csv"
1,18,"brood",30,71,4,2,2934,0.8071,1.0389,1.0383,13.0376,0.6428,0.0692,0.7537,0.0127407407407407,0.609481481481482,0.0586666666666667,0.319111111111111,0.0326975476839237,0.479564032697548,0.0299727520435967,0.457765667574932,0.465116279069767,11.2995527467185,"hive_data/heat_brood//Beehive Data Out Trial 01818_brood.csv"
